City,Temperature,Country,Cloudiness,Humidity,Latitude,Longitude,Wind Speed,Date
Ushuaia,2.0,AR,20,80,-54.8,-68.3,9.8,1593223349
Bethel,21.11,US,1,64,41.37,-73.41,1.5,1593223349
George Town,29.0,MY,20,88,5.41,100.34,1.5,1593223349
Hermanus,12.22,ZA,43,87,-34.42,19.23,7.15,1593223349
Albany,22.22,US,0,84,42.6,-73.97,1.75,1593223151
Barranca,15.57,PE,36,91,-10.75,-77.77,2.98,1593223274
Barrow,4.0,US,90,93,71.29,-156.79,3.6,1593223349
Chui,7.51,UY,100,70,-33.7,-53.46,3.12,1593223125
Mataura,9.58,NZ,56,64,-46.19,168.86,1.11,1593223349
Rundu,9.0,NA,0,57,-17.93,19.77,1.5,1593223350
Jamestown,19.0,US,1,63,42.1,-79.24,2.1,1593223350
Saint George,37.0,US,1,11,37.1,-113.58,5.7,1593223084
Cherskiy,5.51,RU,0,61,68.75,161.3,7.6,1593223350
New Norfolk,8.89,AU,100,85,-42.78,147.06,0.45,1593223350
Labuhan,27.0,ID,51,72,-6.88,112.21,2.72,1593223350
Dembī Dolo,12.79,ET,35,98,8.53,34.8,1.62,1593223350
Yellowknife,20.56,CA,40,45,62.46,-114.35,1.0,1593223350
Zhigansk,25.23,RU,39,34,66.77,123.37,2.77,1593223121
Catherinas Lust,25.35,GY,85,90,6.4,-57.6,3.37,1593223350
Constitución,10.23,CL,92,82,-35.33,-72.42,5.39,1593223351
Bengkulu,27.95,ID,87,69,-3.8,102.27,1.17,1593223351
Castro,12.03,BR,100,95,-24.79,-50.01,5.78,1593223351
Bluff,8.63,NZ,94,63,-46.6,168.33,1.39,1593223351
Busselton,16.67,AU,59,88,-33.65,115.33,6.8,1593223351
Hofn,9.96,IS,100,85,64.25,-15.21,3.37,1593223082
Kiryat Gat,21.11,IL,0,48,31.61,34.76,1.34,1593223351
Esperance,15.0,AU,0,62,-33.87,121.9,5.1,1593223351
Chapais,15.0,CA,1,82,49.78,-74.85,2.1,1593223351
Hilo,28.0,US,75,65,19.73,-155.09,4.6,1593223251
East London,14.73,ZA,0,67,-33.02,27.91,2.17,1593223352
Karratha,24.41,AU,0,19,-20.74,116.85,6.29,1593223352
Dingle,30.58,PH,100,66,11.0,122.67,0.29,1593223352
Kholtoson,21.49,RU,100,52,50.3,103.31,1.12,1593223352
Iqaluit,9.0,CA,40,70,63.75,-68.51,1.89,1593223352
Nikolskoye,18.89,RU,0,72,59.7,30.79,2.0,1593223352
Mahébourg,22.0,MU,75,94,-20.41,57.7,4.1,1593223352
Champerico,27.72,GT,8,78,14.3,-91.92,3.06,1593223352
Čajetina,16.0,RS,0,100,43.75,19.71,0.5,1593223352
Thompson,18.0,CA,75,88,55.74,-97.86,1.0,1593223352
Rikitea,23.25,PF,100,80,-23.12,-134.97,6.46,1593223353
North Bend,25.56,US,75,87,43.41,-124.22,10.3,1593223237
Hambantota,25.0,LK,20,100,6.12,81.12,3.1,1593223353
Fort Nelson,19.0,CA,75,45,58.81,-122.7,1.0,1593223211
Māngrol,29.73,IN,51,75,21.12,70.12,4.71,1593223353
Punta Arenas,-2.0,CL,0,92,-53.15,-70.92,4.1,1593223286
Dikson,1.84,RU,97,90,73.51,80.55,11.88,1593223353
Cervo,18.89,ES,85,80,43.67,-7.41,2.68,1593223096
Hasaki,28.89,JP,75,88,35.73,140.83,1.0,1593223074
Nanortalik,4.52,GL,98,91,60.14,-45.24,1.46,1593223353
Kasama,15.45,ZM,98,77,-10.21,31.18,1.48,1593223353
Kudahuvadhoo,28.6,MV,100,73,2.67,72.89,3.56,1593223354
Comodoro Rivadavia,-1.0,AR,0,80,-45.87,-67.5,4.1,1593223354
Lethem,24.96,GY,74,83,3.38,-59.8,3.21,1593223109
Novyy Urgal,24.19,RU,100,51,51.07,132.56,0.64,1593223354
San Cristobal,18.62,VE,2,86,7.77,-72.22,1.36,1593223354
Port Alfred,11.11,ZA,0,74,-33.59,26.89,3.13,1593223354
Sorrento,23.33,IT,0,64,40.63,14.37,2.1,1593223354
Opuwo,9.87,NA,0,47,-18.06,13.84,2.6,1593223281
Hobart,10.0,AU,75,66,-42.88,147.33,4.6,1593223177
Yamethin,25.73,MM,100,82,20.43,96.15,4.21,1593223354
Vao,21.33,NC,24,63,-22.67,167.48,4.23,1593223354
Benjamín Hill,35.56,MX,12,34,30.17,-111.1,3.13,1593223354
Vestmannaeyjar,9.95,IS,98,84,63.44,-20.27,4.05,1593223354
Datong,26.24,CN,0,28,40.09,113.29,0.93,1593223355
Ulaangom,19.58,MN,0,47,49.98,92.07,1.93,1593223355
Wanning,30.48,CN,93,73,18.8,110.4,5.89,1593223355
São Filipe,23.25,CV,82,78,14.9,-24.5,1.5,1593223355
Saint-Philippe,20.0,RE,34,68,-21.36,55.77,2.6,1593223355
Sítio Novo do Tocantins,24.01,BR,29,70,-5.52,-47.46,0.96,1593223243
Tiksi,18.28,RU,70,46,71.69,128.87,3.73,1593223355
Kashira,17.0,RU,0,72,54.84,38.17,2.0,1593223356
Beyla,19.89,GN,52,97,8.68,-8.63,1.52,1593223356
Truro,15.0,GB,90,93,50.27,-5.05,6.2,1593223208
Wuchang,20.05,CN,100,81,44.91,127.15,1.56,1593223356
Fairbanks,18.33,US,90,45,64.84,-147.72,4.6,1593223356
Bredasdorp,12.0,ZA,5,66,-34.53,20.04,3.6,1593223356
Tasiilaq,5.0,GL,100,86,65.61,-37.64,1.0,1593223356
Salta,8.0,AR,75,75,-24.79,-65.41,2.1,1593223153
Usinsk,6.65,RU,81,76,65.99,57.53,2.67,1593223357
Hamada,25.0,JP,75,78,34.88,132.08,3.6,1593223357
Banepā,23.0,NP,75,94,27.63,85.52,2.1,1593223357
Skjervøy,7.96,NO,100,88,70.03,20.97,5.86,1593223357
Lingao,32.39,CN,99,59,19.91,109.69,2.89,1593223357
Avarua,24.0,CK,4,64,-21.21,-159.78,3.1,1593223327
